"","word_onset","word_offset","word","number","Word_Onset","Word_Offset","Word_Duration"
"1",527.154544,527.783751,"ninety",93,527154.544,527783.751,629.207000000053
"2",527.783751,528.291794,"three",93,527783.751,528291.794,508.042999999947
"3",509.568626,510.139376,"twenty",24,509568.626,510139.376,570.750000000058
"4",510.139376,510.647418,"four",24,510139.376,510647.418,508.041999999958
"5",490.112091,490.630762,"nine",941,490112.091,490630.762,518.670999999973
"6",490.630762,490.998508,"hundred",941,490630.762,490998.508,367.746000000043
"7",490.998508,491.160061,"and",941,490998.508,491160.061,161.552999999956
"8",491.160061,491.712743,"fourty",941,491160.061,491712.743,552.68200000003
"9",491.712743,492.176146,"one",941,491712.743,492176.146,463.402999999991
"10",474.38616,475.094018,"sixty",67,474386.16,475094.018,707.857999999949
"11",475.094018,475.765739,"seven",67,475094.018,475765.739,671.72100000002
"12",459.070489,459.899512,"seventy",75,459070.489,459899.512,829.022999999986
"13",459.899512,460.441566,"five",75,459899.512,460441.566,542.054000000062
"14",442.042567,442.616506,"six",629,442042.567,442616.506,573.938999999955
"15",442.616506,442.988503,"hundred",629,442616.506,442988.503,371.996999999974
"16",442.988503,443.172377,"and",629,442988.503,443172.377,183.874000000011
"17",443.172377,443.653848,"twenty",629,443172.377,443653.848,481.47100000002
"18",443.653848,444.122565,"nine",629,443653.848,444122.565,468.717000000004
"19",418.237912,418.437728,"eight",836,418237.912,418437.728,199.815999999992
"20",418.437728,418.907508,"hundred",836,418437.728,418907.508,469.780000000028
"21",418.907508,419.04993,"and",836,418907.508,419049.93,142.421999999962
"22",419.04993,419.559035,"thirty",836,419049.93,419559.035,509.104999999981
"23",419.559035,420.365738,"six",836,419559.035,420365.738,806.703000000038
"24",403.068915,403.478112,"one",182,403068.915,403478.112,409.197000000044
"25",403.478112,403.924509,"hundred",182,403478.112,403924.509,446.396999999997
"26",403.924509,404.082874,"and",182,403924.509,404082.874,158.364999999991
"27",404.082874,404.488882,"eighty",182,404082.874,404488.882,406.007999999973
"28",404.488882,404.977794,"two",182,404488.882,404977.794,488.912000000011
"29",385.76784,386.304579,"thirty",37,385767.84,386304.579,536.739000000001
"30",386.304579,386.881707,"seven",37,386304.579,386881.707,577.128000000026
"31",369.901613,370.250759,"two",275,369901.613,370250.759,349.146000000008
"32",370.250759,370.700345,"hundred",275,370250.759,370700.345,449.58600000001
"33",370.700345,370.824698,"and",275,370700.345,370824.698,124.353000000003
"34",370.824698,371.452311,"seventy",275,370824.698,371452.311,627.612999999954
"35",371.452311,372.095335,"five",275,371452.311,372095.335,643.023999999976
"36",352.917267,353.359413,"three",368,352917.267,353359.413,442.146000000008
"37",353.359413,353.80581,"hundred",368,353359.413,353805.81,446.396999999997
"38",353.80581,353.88765,"and",368,353805.81,353887.65,81.8400000000256
"39",353.88765,354.542365,"sixty",368,353887.65,354542.365,654.714999999967
"40",354.542365,354.848466,"eight",368,354542.365,354848.466,306.100999999966
"41",338.124519,338.505551,"thirty",36,338124.519,338505.551,381.032000000007
"42",338.505551,339.314911,"six",36,338505.551,339314.911,809.359999999986
"43",314.616399,315.243481,"seven",745,314616.399,315243.481,627.081999999995
"44",315.243481,315.584124,"hundred",745,315243.481,315584.124,340.642999999982
"45",315.584124,315.853557,"and",745,315584.124,315853.557,269.433000000077
"46",315.853557,316.282948,"fourty",745,315853.557,316282.948,429.390999999945
"47",316.282948,316.768671,"five",745,316282.948,316768.671,485.722999999998
"48",297.407261,298.198553,"sixty",69,297407.261,298198.553,791.292000000016
"49",298.198553,298.853269,"nine",69,298198.553,298853.269,654.716000000015
"50",281.578765,281.985837,"five",574,281578.765,281985.837,407.072000000044
"51",281.985837,282.3302,"hundred",574,281985.837,282330.2,344.363000000012
"52",282.3302,282.524702,"and",574,282330.2,282524.702,194.501999999979
"53",282.524702,283.093327,"seventy",574,282524.702,283093.327,568.625
"54",283.093327,283.634317,"four",574,283093.327,283634.317,540.990000000049
"55",262.719552,263.231846,"five",596,262719.552,263231.846,512.293999999994
"56",263.231846,263.670803,"hundred",596,263231.846,263670.803,438.956999999937
"57",263.670803,263.834482,"and",596,263670.803,263834.482,163.679000000004
"58",263.834482,264.214982,"ninety",596,263834.482,264214.982,380.500000000058
"59",264.214982,264.622054,"six",596,264214.982,264622.054,407.071999999986
"60",242.879328,243.419256,"four",492,242879.328,243419.256,539.928000000014
"61",243.419256,243.794442,"hundred",492,243419.256,243794.442,375.186000000016
"62",243.794442,244.048463,"and",492,243794.442,244048.463,254.020999999979
"63",244.048463,244.5023,"ninety",492,244048.463,244502.3,453.837
"64",244.5023,244.968892,"two",492,244502.3,244968.892,466.592000000033
"65",226.262729,226.875993,"fourty",48,226262.729,226875.993,613.263999999966
"66",226.875993,227.240551,"eight",48,226875.993,227240.551,364.558000000019
"67",198.708339,199.246141,"eighty",84,198708.339,199246.141,537.801999999996
"68",199.246141,199.655338,"four",84,199246.141,199655.338,409.196999999986
"69",178.934012,179.402729,"four",438,178934.012,179402.729,468.717000000004
"70",179.402729,179.851251,"hundred",438,179402.729,179851.251,448.521999999997
"71",179.851251,180.127592,"and",438,179851.251,180127.592,276.341000000015
"72",180.127592,180.537853,"thirty",438,180127.592,180537.853,410.260999999999
"73",180.537853,180.848205,"eight",438,180537.853,180848.205,310.352000000014
"74",158.799378,159.285101,"eighty",89,158799.378,159285.101,485.722999999998
"75",159.285101,159.755944,"nine",89,159285.101,159755.944,470.842999999993
"76",138.876252,139.154719,"one",153,138876.252,139154.719,278.467000000004
"77",139.154719,139.693584,"hundred",153,139154.719,139693.584,538.864999999962
"78",139.693584,139.995434,"and",153,139693.584,139995.434,301.850000000006
"79",139.995434,140.399317,"fifty",153,139995.434,140399.317,403.883000000031
"80",140.399317,140.959439,"three",153,140399.317,140959.439,560.122000000003
"81",119.759829,120.257243,"twenty",27,119759.829,120257.243,497.414000000004
"82",120.257243,120.973604,"seven",27,120257.243,120973.604,716.36099999999
"83",101.758336,102.227053,"fifty",52,101758.336,102227.053,468.717000000004
"84",102.288699,102.741473,"two",52,102288.699,102741.473,452.774000000005
