Gaze_position_during_number_pres.ordinal,Gaze_position_during_number_pres.onset,Gaze_position_during_number_pres.offset,Gaze_position_during_number_pres.l/m/r/i/n,
1059,233145,233177,"l",
1060,233178,233210,"l",
1061,233211,233243,"l",
1062,233244,233276,"l",
1063,233277,233309,"l",
1064,233310,233342,"l",
1065,233343,233375,"l",
1066,233376,233408,"l",
1067,233409,233441,"l",
1068,233442,233474,"l",
1069,233475,233507,"l",
1070,233508,233540,"l",
1071,233541,233573,"l",
1072,233574,233606,"l",
1073,233607,233639,"l",
1074,233640,233672,"l",
1075,233673,233705,"l",
1076,233706,233738,"l",
1077,233739,233771,"l",
1078,233772,233804,"l",
1079,233805,233837,"l",
1080,233838,233870,"l",
1081,233871,233903,"l",
1082,233904,233936,"l",
1083,233937,233969,"l",
1084,233970,234002,"l",
1085,234003,234035,"l",
1086,234036,234068,"l",
1087,234069,234101,"l",
1088,234102,234134,"l",
1089,234135,234167,"l",
1090,234168,234200,"l",
1091,234201,234233,"l",
1092,234234,234266,"l",
1093,234267,234299,"l",
1094,234300,234332,"l",
1095,234333,234365,"i",
1096,234366,234398,"n",
1097,234399,234431,"n",
1098,234432,234464,"n",
1099,234465,234497,"n",
1100,234498,234530,"n",
1101,234531,234563,"n",
1102,234564,234596,"n",
1103,234597,234629,"n",
1104,234630,234662,"n",
1105,234663,234695,"n",
1106,234696,234728,"n",
1107,234729,234761,"n",
1108,234762,234794,"n",
1109,234795,234827,"n",
1110,234828,234860,"n",
1111,234861,234893,"n",
1112,234894,234926,"n",
1113,234927,234959,"n",
1114,234960,234992,"n",
1115,234993,235025,"n",
1116,235026,235058,"n",
1117,235059,235091,"n",
1118,235092,235124,"n",
1119,235125,235157,"n",
1120,235158,235190,"n",
1121,235191,235223,"n",
1122,235224,235256,"n",
1123,235257,235289,"n",
1124,235290,235322,"n",
1125,235323,235355,"n",
1126,235356,235388,"n",
1127,235389,235421,"n",
1128,235422,235454,"n",
1129,235455,235487,"n",
1130,235488,235520,"n",
1131,235521,235553,"n",
1132,235554,235586,"n",
1133,235587,235619,"n",
1134,235620,235652,"n",
1135,235653,235685,"n",
1136,235686,235718,"n",
1137,235719,235751,"n",
1138,235752,235784,"n",
1139,235785,235817,"n",
1140,235818,235850,"n",
1141,235851,235883,"n",
1142,235884,235916,"l",
1143,235917,235949,"l",
1144,235950,245882,"l",
1145,245883,245915,"l",
1146,245916,245948,"l",
1147,245949,245981,"m",
1148,245982,246014,"l",
1149,246015,246047,"l",
1150,246048,246080,"l",
1151,246081,246113,"l",
1152,246114,246146,"l",
1153,246147,246179,"i",
1154,246180,246212,"m",
1155,246213,246245,"m",
1156,246246,246278,"m",
1157,246279,246311,"m",
1158,246312,246344,"m",
1159,246345,246377,"m",
1160,246378,246410,"m",
1161,246411,246443,"m",
1162,246444,246476,"m",
1163,246477,246509,"m",
1164,246510,246542,"m",
1165,246543,246575,"m",
1166,246576,246608,"m",
1167,246609,246641,"n",
1168,246642,246674,"n",
1169,246675,246707,"n",
1170,246708,246740,"n",
1171,246741,246773,"n",
1172,246774,246806,"n",
1173,246807,246839,"n",
1174,246840,246872,"n",
1175,246873,246905,"n",
1176,246906,246938,"n",
1177,246939,246971,"n",
1178,246972,247004,"n",
1179,247005,247037,"n",
1180,247038,247070,"n",
1181,247071,247103,"n",
1182,247104,247136,"n",
1183,247137,247169,"n",
1184,247170,247202,"n",
1185,247203,247235,"n",
1186,247236,247268,"n",
1187,247269,247301,"n",
1188,247302,247334,"n",
1189,247335,247367,"n",
1190,247368,247400,"n",
1191,247401,247433,"n",
1192,247434,247466,"n",
1193,247467,247499,"n",
1194,247500,247532,"n",
1195,247533,247565,"n",
1196,247566,247598,"n",
1197,247599,247631,"n",
1198,247632,247664,"n",
1199,247665,247697,"n",
1200,247698,247730,"n",
1201,247731,247763,"n",
1202,247764,247796,"n",
1203,247797,247829,"n",
1204,247830,247862,"n",
1205,247863,247895,"n",
1206,247896,247928,"n",
1207,247929,247961,"n",
1208,247962,247994,"n",
1209,247995,248027,"m",
1210,248028,248060,"m",
1211,248061,248093,"m",
1212,248094,248126,"m",
1213,248127,248159,"m",
1214,248160,248192,"m",
1215,248193,248225,"m",
1216,248226,248258,"m",
1217,248259,248291,"m",
1218,248292,248324,"m",
1219,248325,248357,"m",
1220,248358,248390,"m",
1221,248391,248423,"m",
1222,248424,248456,"i",
1223,248457,248489,"l",
1224,248490,248522,"l",
1225,248523,248555,"l",
1226,248556,248588,"l",
1227,248589,248621,"l",
1228,248622,248654,"l",
1229,248655,248687,"l",
1230,248688,248720,"l",
1231,248721,248753,"l",
1232,248754,248786,"l",
1233,248787,248819,"l",
1234,248820,248852,"l",
1235,248853,248885,"l",
1236,248886,248918,"l",
1237,248919,248951,"l",
1238,248952,248951,"l",
1239,248952,249017,"l",
1240,249018,249050,"l",
1241,249051,249083,"l",
1242,249084,249116,"l",
1243,249117,249149,"l",
1244,249150,249182,"l",
1245,249183,249215,"l",
1246,249216,249215,"m",
1247,249216,249248,"m",
1248,249249,249281,"m",
1249,249282,249314,"m",
1250,249315,249347,"m",
1251,249348,249380,"m",
1252,249381,249413,"m",
1253,249414,249446,"m",
1254,249447,249479,"m",
1255,249480,249512,"m",
1256,249513,249545,"m",
1257,249546,249578,"m",
1258,249579,249611,"m",
1259,249612,249644,"m",
1260,249645,249677,"m",
1261,249678,249710,"m",
1262,249711,249743,"m",
1263,249744,249776,"m",
1264,249777,249809,"m",
1265,249810,249842,"m",
1266,249843,249875,"m",
1267,249876,249908,"m",
1268,249909,249941,"m",
1269,249942,249974,"m",
1270,249975,250007,"m",
1271,250008,250040,"m",
1272,250041,250073,"i",
1273,250074,250106,"m",
1274,250107,250139,"m",
1275,250140,250172,"m",
1276,261624,261656,"l",
1277,261657,261689,"l",
1278,261690,261722,"l",
1279,261723,261755,"l",
1280,261756,261788,"l",
1281,261789,261821,"l",
1282,261822,261854,"l",
1283,261855,261887,"l",
1284,261888,261920,"l",
1285,261921,261953,"l",
1286,261954,261986,"l",
1287,261987,262019,"l",
1288,262020,262052,"l",
1289,262053,262085,"l",
1290,262086,262118,"l",
1291,262119,262151,"l",
1292,262152,262184,"l",
1293,262185,262217,"l",
1294,262218,262250,"l",
1295,262251,262283,"l",
1296,262284,262283,"l",
1297,262284,262316,"l",
1298,262317,262349,"r",
1299,262350,262382,"i",
1300,262383,262415,"i",
1301,262416,262448,"l",
1302,262449,262481,"l",
1303,262482,262514,"i",
1304,262515,262547,"l",
1305,262548,262580,"l",
1306,262581,262613,"l",
1307,262614,262646,"l",
1308,262647,262679,"l",
1309,262680,262712,"l",
1310,262713,262745,"l",
1311,262746,262778,"l",
1312,262779,262811,"l",
1313,262812,262844,"l",
1314,262845,262877,"l",
1315,262878,262910,"l",
1316,262911,262943,"l",
1317,262944,262976,"l",
1318,262977,263009,"l",
1319,263010,263042,"l",
1320,263043,263075,"l",
1321,263076,263108,"l",
1322,263109,263141,"l",
1323,263142,263174,"l",
1324,263175,263207,"l",
1325,263208,263240,"l",
1326,263241,263273,"l",
1327,263274,263306,"l",
1328,263307,263339,"l",
1329,263340,263372,"l",
1330,263373,263405,"l",
1331,263406,263438,"l",
1332,263439,263471,"l",
1333,263472,263504,"l",
1334,263505,263537,"l",
1335,263538,263570,"l",
1336,263571,263603,"l",
1337,263604,263603,"l",
1338,263604,263636,"l",
1339,263637,263669,"l",
1340,263670,263702,"l",
1341,263703,263735,"l",
1342,263736,263768,"l",
1343,263769,263801,"l",
1344,263802,263834,"l",
1345,263835,263867,"l",
1346,263868,263900,"l",
1347,263901,263933,"l",
1348,263934,263966,"l",
1349,263967,263999,"l",
1350,264000,264032,"l",
1351,264033,264065,"l",
1352,264066,264098,"l",
1353,264099,264131,"l",
1354,264132,264164,"l",
1355,264165,264197,"l",
1356,264198,264230,"l",
1357,264231,264263,"l",
1358,264264,264296,"l",
1359,264297,264329,"l",
1360,264330,264362,"l",
1361,264363,264395,"l",
1362,264396,264428,"l",
1363,264429,264461,"l",
1364,264462,264494,"l",
1365,264495,264527,"l",
1366,264528,264560,"l",
1367,264561,264593,"l",
1368,264594,264626,"l",
1369,264627,264659,"l",
1370,264660,264692,"l",
1371,264693,264725,"l",
1372,264726,264758,"l",
1373,264759,264791,"l",
1374,264792,264824,"l",
1375,264825,264857,"l",
1376,264858,264890,"l",
1377,264891,264923,"l",
1378,264924,264956,"l",
1379,264957,264989,"l",
1380,264990,265022,"l",
1381,265023,265055,"l",
1382,265056,265088,"l",
1383,265089,265121,"l",
1384,265122,265154,"l",
1385,265155,265187,"l",
1386,265188,265220,"l",
1387,265221,265253,"l",
1388,265254,265286,"l",
1389,265287,265319,"l",
1390,265320,265352,"l",
1391,265353,265385,"l",
1392,265386,265418,"l",
1393,265419,265451,"l",
1394,265452,265484,"l",
1395,265485,265517,"l",
1396,265518,265550,"l",
1397,265551,265583,"l",
1398,265584,265616,"l",
1399,265617,265649,"l",
1400,265650,265682,"l",
1401,265683,265715,"l",
1402,265716,265748,"l",
1403,265749,265781,"l",
1404,265782,285086,"l",
1405,285087,285119,"l",
1406,285120,285152,"l",
1407,285153,285185,"l",
1408,285186,285218,"l",
1409,285219,285251,"l",
1410,285252,285284,"l",
1411,285285,285317,"l",
1412,285318,285350,"l",
1413,285351,285383,"l",
1414,285384,285416,"l",
1415,285417,285449,"l",
1416,285450,285482,"l",
1417,285483,285515,"l",
1418,285516,285548,"l",
1419,285549,285581,"l",
1420,285582,285614,"l",
1421,285615,285647,"l",
1422,285648,285680,"l",
1423,285681,285713,"l",
1424,285714,285746,"l",
1425,285747,285779,"l",
1426,285780,285812,"l",
1427,285813,285845,"l",
1428,285846,285878,"l",
1429,285879,285911,"l",
1430,285912,285944,"l",
1431,285945,285977,"l",
1432,285978,286010,"l",
1433,286011,286043,"l",
1434,286044,286076,"l",
1435,286077,286109,"l",
1436,286110,286142,"l",
1437,286143,286175,"l",
1438,286176,286208,"l",
1439,286209,286241,"l",
1440,286242,286274,"l",
1441,286275,286307,"l",
1442,286308,286340,"l",
1443,286341,286373,"l",
1444,286374,286406,"l",
1445,286407,286439,"l",
1446,286440,286472,"l",
1447,286473,286505,"l",
1448,286506,286538,"l",
1449,286539,286571,"l",
1450,286572,286604,"l",
1451,286605,286637,"l",
1452,286638,286670,"l",
1453,286671,286703,"l",
1454,286704,286736,"l",
1455,286737,286769,"l",
1456,286770,286802,"l",
1457,286803,286835,"l",
1458,286836,286868,"l",
1459,286869,286901,"l",
1460,286902,286934,"l",
1461,286935,286967,"l",
1462,286968,287000,"l",
1463,287001,287033,"l",
1464,287034,287066,"l",
1465,287067,287099,"l",
1466,287100,287132,"l",
1467,287133,287165,"l",
1468,287166,287198,"l",
1469,287199,287231,"l",
1470,287232,287264,"l",
1471,287265,287297,"l",
1472,287298,287330,"l",
1473,287331,287363,"l",
1474,287364,287396,"l",
1475,287397,287429,"l",
1476,287430,287462,"l",
1477,287463,287495,"l",
1478,287496,287528,"l",
1479,287529,287561,"l",
1480,287562,287594,"l",
1481,287595,287627,"l",
1482,287628,287660,"l",
1483,287661,287693,"l",
1484,287694,287726,"l",
1485,287727,287759,"l",
1486,287760,287792,"l",
1487,287793,287825,"l",
1488,287826,287858,"l",
1489,287859,287891,"l",
1490,287892,287924,"l",
1491,287925,287957,"l",
1492,287958,287990,"l",
1493,287991,288023,"l",
1494,288024,288056,"i",
1495,288057,288089,"i",
1496,288090,288122,"i",
1497,288123,288155,"i",
1498,288156,288188,"i",
1499,288189,288221,"i",
1500,288222,288254,"i",
1501,288255,288287,"i",
1502,288288,288320,"l",
1503,288321,288353,"l",
1504,288354,288386,"l",
1505,288387,288419,"l",
1506,288420,288452,"l",
1507,288453,288485,"l",
1508,288486,288518,"l",
1509,288519,288551,"l",
1510,288552,288584,"l",
1511,288585,288617,"l",
1512,288618,288650,"l",
1513,288651,288683,"l",
1514,288684,288716,"l",
1515,288717,288749,"l",
1516,288750,288782,"l",
1517,288783,288815,"l",
1518,288816,288848,"l",
1519,288849,288881,"l",
1520,288882,288914,"l",
1521,288915,288947,"l",
1522,288948,288980,"l",
1523,288981,289013,"l",
1524,289014,289046,"l",
1525,289047,289079,"l",
1526,289080,289112,"l",
1527,289113,289145,"l",
1528,289146,289178,"l",
1529,289179,289211,"l",
1530,289212,289244,"l",
1531,289245,289277,"l",
1532,289278,289310,"r",
1533,289311,289343,"r",
1534,289344,289343,"l",
1535,289344,289409,"l",
1536,289410,289442,"l",
1537,289443,289475,"l",
1538,307626,307658,"l",
1539,307659,307691,"l",
1540,307692,307724,"l",
1541,307725,307757,"l",
1542,307758,307790,"l",
1543,307791,307823,"m",
1544,307824,307856,"m",
1545,307857,307889,"m",
1546,307890,307922,"m",
1547,307923,307955,"m",
1548,307956,307988,"m",
1549,307989,308021,"m",
1550,308022,308054,"m",
1551,308055,308087,"m",
1552,308088,308120,"m",
1553,308121,308153,"m",
1554,308154,308186,"m",
1555,308187,308219,"m",
1556,308220,308252,"m",
1557,308253,308285,"m",
1558,308286,308318,"i",
1559,308319,308351,"l",
1560,308352,308384,"l",
1561,308385,308417,"l",
1562,308418,308450,"l",
1563,308451,308483,"l",
1564,308484,308516,"l",
1565,308517,308549,"l",
1566,308550,308582,"l",
1567,308583,308615,"l",
1568,308616,308648,"l",
1569,308649,308681,"l",
1570,308682,308714,"l",
1571,308715,308747,"l",
1572,308748,308780,"l",
1573,308781,308813,"l",
1574,308814,308846,"l",
1575,308847,308879,"l",
1576,308880,308912,"l",
1577,308913,308945,"l",
1578,308946,308978,"l",
1579,308979,309011,"l",
1580,309012,309044,"n",
1581,309045,309077,"n",
1582,309078,309110,"n",
1583,309111,309143,"n",
1584,309144,309176,"n",
1585,309177,309209,"n",
1586,309210,309242,"n",
1587,309243,309275,"n",
1588,309276,309308,"n",
1589,309309,309341,"n",
1590,309342,309374,"n",
1591,309375,309407,"n",
1592,309408,309440,"n",
1593,309441,309473,"n",
1594,309474,309506,"n",
1595,309507,309539,"n",
1596,309540,309572,"n",
1597,309573,309605,"n",
1598,309606,309638,"n",
1599,309639,309671,"n",
1600,309672,309704,"n",
1601,309705,309737,"n",
1602,309738,309770,"n",
1603,309771,309803,"n",
1604,309804,309836,"n",
1605,309837,309869,"n",
1606,309870,309902,"n",
1607,309903,309935,"n",
1608,309936,309968,"n",
1609,309969,310001,"n",
1610,310002,310034,"n",
1611,310035,310067,"n",
1612,310068,310100,"n",
1613,310101,310133,"n",
1614,310134,310166,"n",
1615,310167,310199,"n",
1616,310200,310232,"n",
1617,310233,310265,"n",
1618,310266,310298,"n",
1619,310299,310331,"n",
1620,310332,310364,"n",
1621,310365,310397,"n",
1622,310398,310430,"n",
1623,310431,310463,"n",
1624,310464,310496,"n",
1625,310497,310529,"n",
1626,310530,310562,"n",
1627,310563,310595,"n",
1628,310596,310628,"n",
1629,310629,310661,"n",
1630,310662,310694,"n",
1631,310695,310727,"n",
1632,310728,310760,"n",
1633,310761,310793,"n",
1634,310794,310826,"n",
1635,310827,310859,"n",
1636,310860,310892,"n",
1637,310893,310925,"n",
1638,310926,310958,"n",
1639,310959,310991,"n",
1640,310992,311024,"n",
1641,311025,311057,"n",
1642,311058,311090,"l",
1643,311091,311123,"l",
1644,311124,311156,"l",
1645,311157,311189,"l",
1646,311190,311222,"l",
1647,311223,311255,"l",
1648,311256,311288,"l",
1649,311289,311321,"l",
1650,311322,311321,"l",
1651,311322,311354,"l",
1652,311355,311387,"l",
1653,311388,311420,"l",
1654,311421,311420,"l",
1655,311421,311420,"l",
1656,311421,311453,"l",
1657,311454,311486,"l",
1658,311487,311519,"l",
1659,311520,311552,"l",
1660,311553,311585,"l",
1661,311586,311618,"l",
1662,311619,311651,"l",
1663,311652,311684,"l",
1664,311685,311717,"l",
1665,311718,311750,"l",
1666,311751,311783,"l",
1667,311784,311816,"l",
1668,311817,311849,"l",
1669,323334,323366,"l",
1670,323367,323399,"l",
1671,323400,323432,"l",
1672,323433,323465,"l",
1673,323466,323498,"l",
1674,323499,323531,"l",
1675,323532,323564,"l",
1676,323565,323597,"l",
1677,323598,323630,"l",
1678,323631,323663,"l",
1679,323664,323696,"l",
1680,323697,323729,"l",
1681,323730,323762,"l",
1682,323763,323795,"l",
1683,323796,323828,"l",
1684,323829,323861,"l",
1685,323862,323894,"l",
1686,323895,323927,"l",
1687,323928,323960,"l",
1688,323961,323993,"l",
1689,323994,324026,"l",
1690,324027,324059,"l",
1691,324060,324092,"l",
1692,324093,324125,"l",
1693,324126,324158,"l",
1694,324159,324191,"l",
1695,324192,324224,"i",
1696,324225,324257,"i",
1697,324258,324290,"i",
1698,324291,324323,"i",
1699,324324,324356,"i",
1700,324357,324389,"i",
1701,324390,324422,"i",
1702,324423,324455,"i",
1703,324456,324488,"l",
1704,324489,324521,"l",
1705,324522,324554,"l",
1706,324555,324587,"l",
1707,324588,324620,"l",
1708,324621,324653,"l",
1709,324654,324686,"l",
1710,324687,324719,"l",
1711,324720,324752,"l",
1712,324753,324785,"l",
1713,324786,324818,"l",
1714,324819,324851,"l",
1715,324852,324884,"l",
1716,324885,324917,"l",
1717,324918,324950,"l",
1718,324951,324983,"l",
1719,324984,325016,"l",
1720,325017,325049,"l",
1721,325050,325082,"l",
1722,325083,325115,"l",
1723,325116,325148,"l",
1724,325149,325181,"l",
1725,325182,325214,"l",
1726,325215,325247,"l",
1727,325248,325280,"r",
1728,325281,325313,"r",
1729,325314,325346,"r",
1730,325347,325379,"r",
1731,325380,325412,"r",
1732,325413,325445,"r",
1733,325446,325478,"i",
1734,325479,325511,"i",
1735,325512,325544,"i",
1736,325545,325577,"i",
1737,325578,325610,"l",
1738,325611,325643,"l",
1739,325644,325676,"l",
1740,325677,325709,"l",
1741,325710,325742,"l",
1742,325743,325775,"l",
1743,325776,325808,"l",
1744,325809,325841,"l",
1745,325842,325874,"l",
1746,325875,325907,"l",
1747,325908,325940,"l",
1748,325941,325973,"l",
1749,325974,326006,"l",
1750,326007,326039,"l",
1751,326040,326072,"l",
1752,326073,326105,"l",
1753,326106,326138,"l",
1754,326139,326171,"l",
1755,326172,326204,"l",
1756,326205,326237,"l",
1757,326238,326270,"l",
1758,326271,326303,"l",
1759,326304,326336,"l",
1760,326337,326369,"l",
1761,326370,326402,"l",
1762,326403,326435,"l",
1763,326436,326468,"l",
1764,326469,326501,"l",
1765,326502,326534,"l",
1766,326535,326567,"l",
1767,326568,326600,"l",
1768,326601,326633,"l",
1769,326634,326666,"l",
1770,326667,326699,"l",
1771,326700,326732,"l",
1772,326733,326765,"l",
1773,326766,326798,"l",
1774,326799,326831,"l",
1775,326832,326864,"l",
1776,326865,326897,"l",
1777,326898,326930,"l",
1778,326931,326963,"l",
1779,326964,326996,"l",
1780,326997,327029,"l",
1781,327030,327062,"l",
1782,327063,327095,"l",
1783,327096,327128,"l",
1784,327129,327161,"l",
1785,327162,327194,"l",
1786,327195,327227,"l",
1787,327228,327260,"l",
1788,327261,327293,"l",
1789,327294,327326,"l",
1790,327327,327359,"l",
1791,327360,327392,"l",
1792,327393,327425,"l",
1793,327426,327458,"l",
1794,327459,327491,"l",
1795,327492,327524,"l",
1796,327525,327557,"l",
1797,327558,327590,"l",
1798,327591,327623,"l",
1799,327624,338084,"l",
1800,338085,338117,"l",
1801,338118,338150,"l",
1802,338151,338183,"l",
1803,338184,338216,"l",
1804,338217,338249,"l",
1805,338250,338282,"l",
1806,338283,338315,"l",
1807,338316,338348,"l",
1808,338349,338381,"l",
1809,338382,338414,"l",
1810,338415,338447,"l",
1811,338448,338480,"l",
1812,338481,338513,"l",
1813,338514,338546,"l",
1814,338547,338579,"l",
1815,338580,338612,"l",
1816,338613,338645,"l",
1817,338646,338678,"l",
1818,338679,338711,"l",
1819,338712,338744,"l",
1820,338745,338777,"l",
1821,338778,338810,"l",
1822,338811,338843,"l",
1823,338844,338876,"l",
1824,338877,338909,"l",
1825,338910,338942,"l",
1826,338943,338975,"l",
1827,338976,339008,"l",
1828,339009,339041,"l",
1829,339042,339074,"l",
1830,339075,339107,"l",
1831,339108,339140,"l",
1832,339141,339173,"l",
1833,339174,339206,"l",
1834,339207,339239,"l",
1835,339240,339272,"l",
1836,339273,339305,"l",
1837,339306,339338,"l",
1838,339339,339371,"i",
1839,339372,339404,"i",
1840,339405,339437,"m",
1841,339438,339470,"m",
1842,339471,339503,"m",
1843,339504,339536,"m",
1844,339537,339569,"i",
1845,339570,339602,"i",
1846,339603,339635,"i",
1847,339636,339668,"m",
1848,339669,339701,"m",
1849,339702,339734,"m",
1850,339735,339767,"m",
1851,339768,339800,"m",
1852,339801,339833,"m",
1853,339834,339866,"m",
1854,339867,339899,"m",
1855,339900,339932,"m",
1856,339933,339965,"m",
1857,339966,339998,"m",
1858,339999,340031,"m",
1859,340032,340064,"m",
1860,340065,340097,"m",
1861,340098,340130,"m",
1862,340131,340163,"i",
1863,340164,340196,"i",
1864,340197,340229,"i",
1865,340230,340262,"i",
1866,340263,340295,"r",
1867,340296,340328,"r",
1868,340329,340361,"r",
1869,340362,340394,"r",
1870,340395,340427,"m",
1871,340428,340460,"m",
1872,340461,340493,"m",
1873,340494,340526,"m",
1874,340527,340559,"m",
1875,340560,340592,"m",
1876,340593,340625,"m",
1877,340626,340658,"m",
1878,340659,340691,"m",
1879,340692,340724,"m",
1880,340725,340757,"i",
1881,340758,340790,"i",
1882,340791,340823,"i",
1883,340824,340856,"i",
1884,340857,340889,"i",
1885,340890,340922,"i",
1886,340923,340955,"l",
1887,340956,340988,"l",
1888,340989,341021,"l",
1889,341022,341054,"l",
1890,341055,341087,"l",
1891,341088,341120,"l",
1892,341121,341153,"l",
1893,341154,341186,"l",
1894,341187,341219,"l",
1895,341220,341252,"l",
1896,341253,341285,"l",
1897,341286,341318,"l",
1898,341319,341318,"l",
1899,341319,341351,"l",
1900,341352,341384,"n",
1901,341385,341417,"n",
1902,341418,341450,"n",
1903,341451,341483,"n",
1904,341484,341516,"n",
1905,341517,341549,"n",
1906,341550,341582,"n",
1907,341583,341615,"n",
1908,341616,341648,"n",
1909,341649,341681,"n",
1910,341682,341714,"n",
1911,341715,341747,"n",
1912,341748,341780,"n",
1913,341781,341813,"n",
1914,341814,341846,"n",
1915,341847,341879,"n",
1916,341880,341912,"n",
1917,341913,341945,"n",
1918,341946,341978,"n",
1919,341979,342011,"n",
1920,342012,342044,"n",
1921,342045,342077,"n",
1922,342078,342110,"n",
1923,342111,342143,"n",
1924,342144,342176,"n",
1925,342177,342209,"n",
1926,342210,342242,"n",
1927,342243,342275,"n",
1928,342276,342308,"n",
1929,342309,342341,"n",
1930,342342,342374,"n",
1931,342375,0,"n",
1932,354816,354848,"l",
1933,354849,354881,"l",
1934,354882,354914,"l",
1935,354915,354947,"l",
1936,354948,354980,"l",
1937,354981,355013,"l",
1938,355014,355046,"l",
1939,355047,355079,"l",
1940,355080,355112,"l",
1941,355113,355145,"l",
1942,355146,355178,"l",
1943,355179,355211,"l",
1944,355212,355244,"l",
1945,355245,355277,"l",
1946,355278,355310,"l",
1947,355311,355343,"l",
1948,355344,355376,"l",
1949,355377,355409,"l",
1950,355410,355442,"l",
1951,355443,355475,"l",
1952,355476,355508,"l",
1953,355509,355541,"l",
1954,355542,355574,"l",
1955,355575,355607,"l",
1956,355608,355640,"l",
1957,355641,355673,"l",
1958,355674,355706,"l",
1959,355707,355739,"l",
1960,355740,355772,"l",
1961,355773,355805,"l",
1962,355806,355838,"l",
1963,355839,355871,"l",
1964,355872,355904,"l",
1965,355905,355937,"l",
1966,355938,355970,"l",
1967,355971,356003,"l",
1968,356004,356036,"l",
1969,356037,356069,"l",
1970,356070,356102,"l",
1971,356103,356135,"l",
1972,356136,356168,"l",
1973,356169,356201,"l",
1974,356202,356234,"l",
1975,356235,356267,"l",
1976,356268,356300,"l",
1977,356301,356333,"l",
1978,356334,356366,"l",
1979,356367,356399,"l",
1980,356400,356432,"l",
1981,356433,356465,"l",
1982,356466,356498,"l",
1983,356499,356531,"l",
1984,356532,356564,"l",
1985,356565,356597,"l",
1986,356598,356630,"l",
1987,356631,356663,"l",
1988,356664,356696,"l",
1989,356697,356729,"l",
1990,356730,356762,"l",
1991,356763,356795,"l",
1992,356796,356828,"l",
1993,356829,356861,"l",
1994,356862,356894,"l",
1995,356895,356927,"l",
1996,356928,356960,"l",
1997,356961,356993,"l",
1998,356994,357026,"l",
1999,357027,357059,"l",
2000,357060,357092,"l",
2001,357093,357125,"l",
2002,357126,357158,"l",
2003,357159,357191,"l",
2004,357192,357224,"l",
2005,357225,357257,"l",
2006,357258,357290,"l",
2007,357291,357323,"l",
2008,357324,357356,"l",
2009,357357,357389,"l",
2010,357390,357422,"l",
2011,357423,357455,"l",
2012,357456,357488,"l",
2013,357489,357521,"l",
2014,357522,357554,"l",
2015,357555,357554,"l",
2016,357555,357587,"l",
2017,357588,357620,"l",
2018,357621,357653,"l",
2019,357654,357686,"l",
2020,357687,357719,"l",
2021,357720,357752,"l",
2022,357753,357785,"l",
2023,357786,357818,"l",
2024,357819,357851,"l",
2025,357852,357884,"l",
2026,357885,357917,"l",
2027,357918,357950,"l",
2028,357951,357983,"l",
2029,357984,358016,"l",
2030,358017,358049,"l",
2031,358050,358082,"l",
2032,358083,358115,"l",
2033,358116,358148,"l",
2034,358149,358181,"l",
2035,358182,358214,"l",
2036,358215,358247,"l",
2037,358248,358280,"l",
2038,358281,358313,"l",
2039,358314,358346,"l",
2040,358347,358379,"l",
2041,358380,358412,"l",
2042,358413,358445,"l",
2043,358446,358478,"l",
2044,358479,358511,"l",
2045,358512,358544,"l",
2046,358545,358577,"l",
2047,358578,358610,"l",
2048,358611,358643,"l",
2049,358644,358676,"l",
2050,358677,358709,"i",
2051,358710,358742,"l",
2052,358743,358775,"i",
2053,358776,358808,"r",
2054,358809,358841,"i",
2055,358842,358874,"i",
2056,358875,358907,"i",
2057,358908,358940,"r",
2058,358941,358973,"r",
2059,358974,369104,"r",
2060,369105,369137,"l",
2061,369138,369170,"l",
2062,369171,369203,"l",
2063,369204,369236,"l",
2064,369237,369269,"l",
2065,369270,369302,"l",
2066,369303,369335,"l",
2067,369336,369368,"l",
