,Conditions,Trials,Number_type,Other_features,Target,Foil,Location,Answer,Audio,RT
0,1,0,decade_digit_swap,none,23,32,left,left,twenty three,
1,1,1,decade_digit_swap,none,49,94,right,right,forty nine,
2,1,2,decade_digit_swap,none,67,76,left,left,sixty seven,
3,1,3,decade_digit_swap,none,75,57,right,right,seventy five,
4,1,4,decade_digit_swap,none,89,98,left,left,eight nine,
5,1,5,decade_digit_swap,none,195,159,right,right,one hundred ninty five,
6,1,6,decade_digit_swap,zero,240,204,left,left,two hundred forty,
7,1,7,hundred_decade_swap,none,537,357,right,right,five hundred thirty seven,
8,1,8,hundred_decade_swap,none,867,687,left,left,eight hundred sixty seven,
9,1,9,decade_digit_swap,zero,906,960,right,right,nine hundred six,
10,2,0,decade_digit_swap,none,35,53,left,left,Look at this number.,
11,2,1,decade_digit_swap,none,47,74,right,right,Look at here.,
12,2,2,decade_digit_swap,none,68,86,left,left,Here is a number.,
13,2,3,decade_digit_swap,none,76,67,right,right,Remember this number,
14,2,4,decade_digit_swap,none,94,49,left,left,Remember this. ,
15,2,5,decade_digit_swap,none,154,145,right,right,Look at this number.,
16,2,6,decade_digit_swap,zero,305,350,left,left,Look at here.,
17,2,7,hundred_decade_swap,none,492,942,right,right,Here is a number.,
18,2,8,hundred_decade_swap,none,637,367,left,left,Remember this number,
19,2,9,decade_digit_swap,zero,804,840,right,right,Remember this. ,