digit,freq start (old),freq end (old),freq mid (old),frequency total,freq start (new),freq end (new),freq mid (new),frequency total,old target,old foil,Other_features,new target,new foil
1,2,0,0,2,2,0,0,2,27,72,none,27,72
2,3,3,1,7,3,3,1,7,39,93,none,36,63
3,3,1,4,8,3,2,2,7,49,94,none,89,98
4,4,2,2,8,3,3,2,8,52,25,none,52,25
5,3,4,1,8,3,3,1,7,67,76,none,67,76
6,4,0,2,6,3,3,2,8,75,57,none,75,57
7,2,3,1,6,2,3,2,7,84,48,none,84,48
8,2,3,0,5,3,3,1,7,93,39,none,93,39
9,1,7,1,9,2,2,2,6,25,52,none,24,42
,,,,,,,,,37,73,none,37,73
,,,,,,,,,48,84,none,48,84
,,,,,,,,,69,96,none,69,96
,,,,,,,,,132,123,swap_2_3,182,128
,,,,,,,,,569,659,swap_1_2,596,956
,,,,,,,,,438,834,swap_1_3,438,834
,,,,,,,,,745,754,swap_1_2,745,475
,,,,,,,,,368,386,swap_2_3,368,386
,,,,,,,,,629,269,swap_1_2,629,269
,,,,,,,,,839,938,swap_1_3,836,638
,,,,,,,,,235,253,swap_2_3,275,257
,,,,,,,,,492,429,swap_1_3,492,294
,,,,,,,,,574,754,swap_1_2,574,754
,,,,,,,,,641,146,swap_1_3,941,149
,,,,,,,,,159,195,swap_2_3,153,135